GameId,Year,Round,Date,MaxTemp,MinTemp,Rainfall,Venue,StartTime,Attendance,HomeTeam,HomeTeamScoreQT,HomeTeamScoreHT,HomeTeamScore3QT,HomeTeamScoreFT,HomeTeamScore,AwayTeam,AwayTeamScoreQT,AwayTeamScoreHT,AwayTeamScore3QT,AwayTeamScoreFT,AwayTeamScore
2012R0101,2012,R1,2012-03-24,24.0,12.2,0.0,Stadium Australia,7:20 PM,38203.0,Greater Western Sydney,1.2,3.3,3.4,5.7,37.0,Sydney,4.1,8.4,13.8,14.16,100
2012R0102,2012,R1,2012-03-29,25.7,9.7,0.0,M.C.G.,7:45 PM,78189.5,Richmond,3.4,5.6,10.7,12.9,81.0,Carlton,3.2,8.7,11.13,18.17,125
2012R0103,2012,R1,2012-03-30,27.4,9.7,0.0,M.C.G.,7:50 PM,78189.5,Hawthorn,2.1,10.6,14.1,20.17,137.0,Collingwood,2.7,7.9,12.16,16.19,115
2012R0104,2012,R1,2012-03-31,29.1,15.1,0.6,M.C.G.,1:45 PM,33473.0,Melbourne,3.3,7.4,8.8,11.12,78.0,Brisbane Lions,1.4,7.8,13.13,17.17,119
2012R0105,2012,R1,2012-03-31,28.2,19.7,0.0,Carrara,3:45 PM,12790.0,Gold Coast,3.1,5.3,8.6,10.8,68.0,Adelaide,7.475,11.1,15.16,19.23,137
2012R0106,2012,R1,2012-03-31,24.0,9.0,0.0,Subiaco,4:45 PM,34601.0,Fremantle,6.0,8.3,12.8,16.9,105.0,Geelong,4.0,9.2,12.7,15.11,101
2012R0107,2012,R1,2012-03-31,29.1,15.1,0.6,Docklands,7:45 PM,45818.0,North Melbourne,4.3,8.5,10.1,15.12,102.0,Essendon,3.2,9.8,13.14,14.2,104
2012R0108,2012,R1,2012-04-01,20.4,14.3,0.0,Docklands,1:10 PM,24977.0,Western Bulldogs,4.3,8.5,10.11,12.15,87.0,West Coast,6.2,10.6,16.9,21.1,136
2012R0109,2012,R1,2012-04-01,24.3,11.8,0.0,Football Park,4:10 PM,21179.0,Port Adelaide,5.2,8.6,11.9,13.11,89.0,St Kilda,2.1,9.3,11.4,13.7,85
2012R0201,2012,R2,2012-04-05,28.4,17.9,0.0,Gabba,7:40 PM,25913.0,Brisbane Lions,6.1,7.6,7.7,9.9,63.0,Carlton,5.5,10.9,16.1,23.16,148
2012R0202,2012,R2,2012-04-07,19.8,9.0,3.4999999999999996,Docklands,1:45 PM,34118.0,Essendon,5.2,10.6,11.13,16.15,111.0,Port Adelaide,5.2,7.3,12.5,13.8,86
2012R0203,2012,R2,2012-04-07,27.4,18.2,0.0,S.C.G.,2:10 PM,22242.0,Sydney,4.4,9.7,11.9,14.1,94.0,Fremantle,2.2,3.3,9.4,12.9,81
2012R0204,2012,R2,2012-04-07,29.9,11.5,0.0,Subiaco,2:40 PM,35674.0,West Coast,4.3,11.8,19.14,25.100000000000005,160.5,Melbourne,1.1,4.2,6.2,9.4,58
2012R0205,2012,R2,2012-04-07,19.8,13.9,0.0,Football Park,7:10 PM,34021.0,Adelaide,4.4,7.8,7.11,11.16,82.0,Western Bulldogs,1.4,3.7,7.9,9.1,64
2012R0206,2012,R2,2012-04-07,19.8,9.0,3.4999999999999996,M.C.G.,7:40 PM,57268.0,Collingwood,2.8,5.1,11.12,12.13,85.0,Richmond,1.6,2.1,4.13,8.16,64
2012R0207,2012,R2,2012-04-08,18.4,8.9,0.4,Bellerive Oval,1:10 PM,11127.0,North Melbourne,7.4,12.8,19.15,25.100000000000005,160.5,Greater Western Sydney,0.3,0.4,6.6,8.6,54
2012R0208,2012,R2,2012-04-08,20.0,6.9,0.0,Docklands,4:40 PM,21078.0,St Kilda,5.2,8.7,15.1,21.13,139.0,Gold Coast,0.2,2.2,6.4,7.5,47
2012R0209,2012,R2,2012-04-09,15.2,10.1,1.4,M.C.G.,3:10 PM,69231.0,Geelong,4.1,7.3,10.7,14.8,92.0,Hawthorn,3.4,8.6,13.7,13.12,90
2012R0301,2012,R3,2012-04-13,24.8,8.0,0.4,M.C.G.,7:50 PM,78189.5,Carlton,7.1,9.7,15.11,18.14,122.0,Collingwood,3.2,6.3,8.6,9.8,62
2012R0302,2012,R3,2012-04-14,24.8,13.1,0.0,M.C.G.,1:45 PM,49826.0,Richmond,4.4,6.8,15.11,20.13,133.0,Melbourne,2.3,5.6,6.6,11.8,74
2012R0303,2012,R3,2012-04-14,27.9,10.8,0.0,Football Park,1:40 PM,19032.0,Port Adelaide,3.3,5.6,9.9,12.11,83.0,Sydney,5.2,8.4,10.6,16.9,105
2012R0304,2012,R3,2012-04-14,26.0,11.8,0.0,Subiaco,2:40 PM,33473.0,Fremantle,1.4,4.7,6.13,8.16,64.0,Brisbane Lions,2.1,3.2,5.3,5.5,35
2012R0305,2012,R3,2012-04-14,25.2,18.3,3.4999999999999996,Carrara,7:40 PM,17069.0,Gold Coast,2.3,7.5,12.7,13.1,88.0,Essendon,5.6,7.1,10.12,15.15,105
2012R0306,2012,R3,2012-04-14,24.8,13.1,0.0,Docklands,7:40 PM,28971.0,Western Bulldogs,1.2,1.5,2.6,5.1,40.0,St Kilda,4.5,6.6,13.9,15.13,103
2012R0307,2012,R3,2012-04-15,26.9,16.0,0.0,Blacktown,1:10 PM,6875.0,Greater Western Sydney,2.0,4.1,6.5,10.9,69.0,West Coast,7.475,12.899999999999999,18.825000000000003,23.12,148
2012R0308,2012,R3,2012-04-15,26.7,15.6,0.0,M.C.G.,3:15 PM,33524.0,Hawthorn,5.3,10.7,15.9,21.14,140.0,Adelaide,4.3,6.8,9.1,12.12,84
2012R0309,2012,R3,2012-04-15,26.7,15.6,0.0,Docklands,4:40 PM,29630.0,North Melbourne,4.5,9.5,16.8,20.11,131.0,Geelong,1.3,5.8,9.14,16.18,114
2012R0401,2012,R4,2012-04-20,22.1,11.8,2.4,Docklands,7:50 PM,30172.0,St Kilda,4.3,6.9,8.1,11.13,79.0,Fremantle,3.2,6.3,11.6,14.8,92
2012R0402,2012,R4,2012-04-21,24.0,13.3,2.6,M.C.G.,1:45 PM,73172.0,Carlton,4.4,4.7,5.12,11.13,79.0,Essendon,3.6,8.11,12.17,15.19,109
2012R0403,2012,R4,2012-04-21,24.0,13.3,2.6,Docklands,2:10 PM,30741.0,Collingwood,7.5,8.8,13.11,14.13,97.0,Port Adelaide,2.2,5.7,8.8,10.13,73
2012R0404,2012,R4,2012-04-21,21.5,18.8,0.0,Football Park,4:10 PM,28261.0,Adelaide,5.4,7.8,10.13,13.18,96.0,Greater Western Sydney,1.1,5.3,6.6,7.8,50
2012R0405,2012,R4,2012-04-21,21.9,9.2,0.0,Subiaco,5:40 PM,40080.0,West Coast,0.8,0.12,2.16,5.21,51.0,Hawthorn,0.4,2.7,3.13,5.16,46
2012R0406,2012,R4,2012-04-21,29.9,18.1,0.0,Gabba,7:40 PM,21980.0,Brisbane Lions,3.3,7.4,12.5,17.9,111.0,Gold Coast,2.4,5.8,5.9,6.1,46
2012R0407,2012,R4,2012-04-22,23.2,14.5,3.4999999999999996,Kardinia Park,1:10 PM,21952.0,Geelong,4.1,7.3,10.4,11.9,75.0,Richmond,3.1,3.6,7.1,9.11,65
2012R0408,2012,R4,2012-04-22,25.2,16.3,0.0,S.C.G.,3:15 PM,21049.0,Sydney,5.5,9.7,14.9,17.11,113.0,North Melbourne,1.3,6.7,7.11,10.17,77
2012R0409,2012,R4,2012-04-22,23.7,13.5,1.4,M.C.G.,4:40 PM,33565.0,Melbourne,1.5,3.8,7.1,9.13,67.0,Western Bulldogs,3.2,6.5,10.7,13.1,88
2012R0501,2012,R5,2012-04-25,15.2,8.7,3.4999999999999996,M.C.G.,2:40 PM,78189.5,Collingwood,2.4,5.6,9.8,11.14,80.0,Essendon,1.3,3.6,7.8,11.13,79
2012R0502,2012,R5,2012-04-27,29.5,17.6,0.0,Subiaco,6:45 PM,38847.0,Fremantle,1.2,3.9,4.1,7.15,57.0,Carlton,2.1,6.2,9.4,10.5,65
2012R0503,2012,R5,2012-04-28,19.4,3.9,0.0,Manuka Oval,1:45 PM,9128.0,Greater Western Sydney,2.4,5.5,8.6,9.8,62.0,Western Bulldogs,0.5,8.9,12.12,15.14,104
2012R0504,2012,R5,2012-04-28,21.5,8.2,0.0,Docklands,4:40 PM,17680.0,North Melbourne,4.9,8.13,14.22,17.25,127.0,Gold Coast,2.5,9.8,10.12,13.15,93
2012R0505,2012,R5,2012-04-28,21.5,8.2,0.0,M.C.G.,7:40 PM,24877.0,Melbourne,4.1,8.3,10.6,10.6,66.0,St Kilda,5.4,8.5,10.9,12.12,84
2012R0506,2012,R5,2012-04-28,21.2,16.1,3.4999999999999996,Gabba,7:45 PM,15534.0,Brisbane Lions,0.5,0.7,1.9,4.17,41.0,Geelong,4.1,7.5,10.6,12.7,79
2012R0507,2012,R5,2012-04-29,15.6,2.1,0.0,York Park,1:10 PM,19217.0,Hawthorn,5.3,8.6,8.6,10.9,69.0,Sydney,2.2,5.4,9.7,16.1,106
2012R0508,2012,R5,2012-04-29,16.0,8.6,1.6,Docklands,3:15 PM,28464.0,Richmond,4.2,9.4,12.9,14.13,97.0,West Coast,5.3,11.6,12.11,16.11,107
2012R0509,2012,R5,2012-04-29,19.0,7.8,0.0,Football Park,4:10 PM,41649.0,Adelaide,4.3,10.4,12.7,16.14,110.0,Port Adelaide,4.2,7.3,13.4,14.7,91
2012R0601,2012,R6,2012-05-04,16.7,9.8,3.4999999999999996,Docklands,7:50 PM,38155.0,Western Bulldogs,3.5,5.7,10.1,11.11,77.0,Collingwood,2.0,6.4,11.5,15.8,98
